,coord_lon,coord_lat,weather_0_id,weather_0_main,weather_0_description,weather_0_icon,base,main_temp,main_feels_like,main_temp_min,main_temp_max,main_pressure,main_humidity,main_sea_level,main_grnd_level,wind_speed,wind_deg,clouds_all,dt,sys_country,sys_sunrise,sys_sunset,timezone,id,name,cod,snow_3h,weather_1_id,weather_1_main,weather_1_description,weather_1_icon,visibility,sys_type,sys_id,rain_3h,wind_gust,rain_1h,weather_2_id,weather_2_main,weather_2_description,weather_2_icon,snow_1h
walvis bay,14.51,-22.95,800,Clear,clear sky,01n,stations,291.01,290.71,290.93,291.15,1013,82,,,2.6,360,0,1578455925,NA,1578457450,1578505930,7200,3359638,Walvis Bay,200,,,,,,,1,2288,,,,,,,,
san andres,122.68,13.32,804,Clouds,overcast clouds,04d,model,301.91,303.14,301.91,301.91,1013,67,1013,1002,4.97,51,100,1578455925,PH,1578435240,1578476203,28800,1690438,San Andres,200,,,,,,,,,,,,,,,,
talcahuano,-73.12,-36.72,801,Clouds,few clouds,02n,stations,287.15,285.88,287.15,287.15,1013,93,,,3.1,30,20,1578455694,CL,1578476572,1578528882,-10800,3870282,Talcahuano,200,,,,,,10000,1,8499,,,,,,,,
etaples,1.63,50.52,701,Mist,mist,50n,stations,285.14,281.09,284.15,285.93,1022,93,,,6.2,230,90,1578455926,FR,1578469965,1578499598,3600,3019441,Etaples,200,,,,,,5000,1,6449,,,,,,,,
soyo,12.37,-6.13,804,Clouds,overcast clouds,04n,model,299.21,304.41,299.21,299.21,1009,83,1009,1007,0.02,335,99,1578455927,AO,1578459780,1578504627,3600,2236967,Soyo,200,,,,,,,,,,,,,,,,
nyuksenitsa,44.24,60.41,600,Snow,light snow,13n,model,267.27,261.74,267.27,267.27,1017,93,1017,999,3.91,192,100,1578455927,RU,1578463452,1578485653,10800,516539,Nyuksenitsa,200,0.56,,,,,,,,,,,,,,,
solnechnyy,136.64,50.72,800,Clear,clear sky,01d,model,261.04,256.96,261.04,261.04,1017,83,1017,958,1.06,119,0,1578455927,RU,1578437626,1578467114,36000,2016307,Solnechnyy,200,,,,,,,,,,,,,,,,
turukhansk,87.96,65.8,600,Snow,light snow,13n,model,256.01,249,256.01,256.01,1018,95,1018,1010,5.01,192,100,1578455928,RU,1578457145,1578470969,25200,1488903,Turukhansk,200,0.44,,,,,,,,,,,,,,,
inuvik,-133.71,68.36,800,Clear,clear sky,01n,stations,234.15,228.73,234.15,234.15,1026,72,,,2.1,280,5,1578455928,CA,1578429616,1578432079,-25200,5983607,Inuvik,200,,,,,,24140,1,796,,,,,,,,
haimen,121.18,31.87,803,Clouds,broken clouds,04d,stations,279.82,274.29,279.82,279.82,1024,63,,,5.09,304,83,1578455928,CN,1578437775,1578474388,28800,1801200,Haimen,200,,,,,,,3,2000942,,,,,,,,
maniitsoq,-52.9,65.42,600,Snow,light snow,13n,model,253.97,247.13,253.97,253.97,987,96,987,977,4.67,355,100,1578455929,GL,1578490472,1578505274,-10800,3421982,Maniitsoq,200,0.75,,,,,,,,,,,,,,,
kafue,28.18,-15.74,500,Rain,light rain,10d,model,292.21,293.74,292.21,292.21,1011,94,1011,892,1.85,356,90,1578455929,ZM,1578454988,1578501828,7200,915883,Kafue,200,,,,,,,,,0.38,,,,,,,
sokolo,-6.12,14.74,802,Clouds,scattered clouds,03n,model,289.33,283.67,289.33,289.33,1014,21,1014,981,4.19,49,42,1578455929,ML,1578466306,1578506979,0,2450849,Sokolo,200,,,,,,,,,,,,,,,,
pervomayskoye,86.23,57.07,600,Snow,light snow,13d,model,261.44,256.4,261.44,261.44,1030,95,1030,1011,2.6,225,96,1578455929,RU,1578451820,1578477124,25200,1495256,Pervomayskoye,200,0.19,,,,,,,,,,,,,,,
biga,27.24,40.23,520,Rain,light intensity shower rain,09n,stations,275.72,267.29,274.15,277.04,1023,86,,,9.3,360,75,1578455930,TR,1578461612,1578495656,10800,750605,Biga,200,,,,,,10000,1,6974,,15.4,,,,,,
mweka,21.56,-4.85,500,Rain,light rain,10n,model,293.2,296.32,293.2,293.2,1011,98,1011,952,0.64,92,100,1578455930,CD,1578457702,1578502293,7200,207596,Mweka,200,,,,,,,,,2.19,,,,,,,
rio gallegos,-69.22,-51.62,802,Clouds,scattered clouds,03n,stations,282.15,279.62,282.15,282.15,981,87,,,2.6,290,40,1578455930,AR,1578472303,1578531279,-10800,3838859,Rio Gallegos,200,,,,,,10000,1,8293,,,,,,,,
port-gentil,8.78,-0.72,803,Clouds,broken clouds,04n,model,300.54,303.79,300.54,300.54,1009,80,1009,1009,3.35,279,63,1578455931,GA,1578461179,1578504952,3600,2396518,Port-Gentil,200,,,,,,,,,,,,,,,,
ginir,40.71,7.14,500,Rain,light rain,10d,model,287.12,286.95,287.12,287.12,1016,92,1016,814,1.43,333,98,1578455931,ET,1578454290,1578496510,10800,336454,Ginir,200,,,,,,,,,0.13,,,,,,,
piney green,-78.48,35.09,800,Clear,clear sky,01n,stations,274.83,270.44,273.15,278.15,1022,72,,,2.89,313,1,1578455931,US,1578399756,1578435421,-18000,4490053,Piney Green,200,,,,,,16093,1,4598,,,,,,,,
lavaltrie,-73.28,45.88,804,Clouds,overcast clouds,04n,stations,269.27,265.32,267.04,270.93,1011,73,,,1.5,140,90,1578455931,CA,1578400441,1578432239,-18000,6050650,Lavaltrie,200,,,,,,14484,1,820,,,,,,,,
lugo,-7.56,43.01,802,Clouds,scattered clouds,03n,stations,279.79,276.99,277.59,283.71,1028,86,,,2.24,112,37,1578455932,ES,1578470472,1578503505,3600,3117814,Lugo,200,,,,,,,3,2001961,,3.13,,,,,,
mahina,-10.85,13.76,802,Clouds,scattered clouds,03n,model,290.37,285.3,290.37,290.37,1013,18,1013,996,3.19,37,37,1578455933,ML,1578467339,1578508217,0,2460755,Mahina,200,,,,,,,,,,,,,,,,
sete,86.44,27.58,804,Clouds,overcast clouds,04d,model,277.6,274.33,277.6,277.6,1020,53,1020,751,1.05,259,98,1578455933,NP,1578445548,1578483295,20700,1282675,Sete,200,,,,,,,,,,,,,,,,
